WO Nbr / SR Nbr,raw_Comments
7910002590,"This SR is generated for only SPS kit installation and previous SR generated but that time SPS kit not delivered, As confirm from Sachin Agarwal on 5th April 2019 ( Verbal communication )/ Please upload SPS installed images in M-Audit for confimation. #Software upgradation# # Deployment Activity # Deployment - Centralized Approvals # PNB EMV & SPS Confirmation mail received from Ahuja, Sapna <Sapna.Ahuja@ncr.com> on dated Wed 3/6/2135 CE IS NOW IN101D01 Sps installed, reload the software ,run rebaseline,deconfigure still at, now machine is live Sps installed, reload the software ,run rebaseline,deconfigure still at, now machine is live New Item :2012-2000-8600 New Serial Number :94-51949631 Old Item :2012-2000-8600 Old Serial Number :94-51949631"
7912001766,"monitor blank issue as per CRA Vikash 7830364664 //CE anup 9136764646 (not responding ) // monitor blank issue [Generated by Portal Login: ganebark Contact: Ganesh Barkade 020 - 6735014 ganesh.barkade@tatacommunications.com] CE IS NOW IN101B04 CE WAS IN101B04 - visited the site found machine were already live and operational,as for confirmation checked and reboot it but no error found,for Despensor check it and clean all sensors and run test on it, now dispenser works fine and machine is live and operational,tranx amount is 500. - visited the site found machine were already live and operational,as for confirmation checked and reboot it but no error found,for Despensor check it and clean all sensors and run test on it, now dispenser works fine and machine is live and operational,tranx amount is 500. New Item :2012-2000-8600 New Serial Number :94-51949965 Old Item :2012-2000-8600 Old Serial Number :94-51949965"
7912104169,"ATM not coming in service Need To SLM for Machine not coming in service at site as per FLM Jitendra 8826797375 Engg.. Pramod 9991431720 same has been confirmed with Engineer [Generated by Portal Login: singhaut Contact: Lila 080-46593740 FIS_PSS_NMA@fisglobal.com] CE IS NOW IN101C02 CE WAS IN101C02 voted site check network status gateway, telnet and ping is done properly but there are some drops in traceroot, same inform to fis switch team,. External canara cable also damaged. voted site check network status gateway, telnet and ping is done properly but there are some drops in traceroot, same inform to fis switch team,. External canara cable also damaged. New Item :2012-2000-8600 New Serial Number :94-52048335 Old Item :2012-2000-8600 Old Serial Number :94-52048335"
7912202361,Footage required DT. 05/04/2019 Time 16:55 to 17:15 [Generated by Portal Login: sarafpan Contact: Pankaj Saraf 91 22 61957617 / 18 pankajss@fss.co.in] CE IS NOW IN101M04 LABOUR. APPROVAL AWAITED chgi images collected handed over to customer soon New Item :6642-2000-8600 New Serial Number :94-44643179 Old Item :6642-2000-8600 Old Serial Number :94-44643179
7912309008,card reader issue card reader issue [Generated by Portal Login: thasac14 Contact: mangesh 02239397112 enkotak@euronetworldwide.com] CE IS NOW IN101D07 CE WAS IN101D07 CE IS NOW IN101D01 readjust thecable of pressenter New Item :2012-2122-8600 New Serial Number :94-45502374 Old Item :2012-2122-8600 Old Serial Number :94-45502374
7912202775,"Atm id: DLHAB010 , mail received from FSC, Projects <Projects.FSC@ncr.com> #EJ - EJ disconnected ,CE required to verify the SD Agent - EN EJ -022-33478657, 022-33478635 & 9773455272. COMPREHENSIVE BILLING. CE IS NOW IN101D02 chgc #EJ call# visited the site and found EJ connected and docket no. 09a1713p19r as per MR Tiwari from EN New Item :2012-2000-8600 New Serial Number :94-48916306 Old Item :2012-2000-8600 Old Serial Number :94-48916306"
7912007401,"Date of TXN Trx. TimeTXN NoAmount15-12-188.15-8.40am4325550017/10/201823.20-23.401443-14462000029/12/201810.00-10.30am836310020399/51021000014/02/1915-02-20197.30 TO 9.AM 7.40AM TO 8.40AM080000 Mail From: Cctv Services <cctv.services@writercorporation.com> Sent: Tuesday, April 30, 2019 4:27 PM Footages Required ApprovedRegardsSatish Chavan chgc #images retrieve call# visited the site and found there is both camera tampered previously and same was resolved on 19th March under SR#7906703242. so images available after that. New Item :2012-2000-8600 New Serial Number :94-50891206 Old Item :2012-2000-8600 Old Serial Number :94-50891206"
7912010833,CALL LOG FOR MONITOR BLANK CALL LOG FOR MONITOR BLANK ENG NAME MANISH NUMBER 9811598970 AS PAR CUST mohit west 9311523189 confirmed with NCR tollfree virendra [Generated by Portal Login: singhaut Contact: Uttam Singha 22-33865337 FISPSS_SLM@fisglobal.com] CE IS NOW IN101D02 due to security reason call schedule for tomorrow   #reconfigure the registry file# update the software file and tested atm is working fine also there is no UPS backup next call attend on CHGC basis New Item :2012-2000-8600 New Serial Number :94-51150080 Old Item :2012-2000-8600 Old Serial Number :94-51150080
7912304096,SLM Call log for machine auto rebooting CRA Rakesh 8558698998 and engg Manish 9811598970 SLM Call log for machine auto rebooting.ATM ID- DLHAB017 [Generated by Portal Login: prizmyes Contact: Tejaswini 04466367824 YBLHelpdesk@hitachi-payments.com] CE IS NOW IN101D02 CE WAS IN101D02 chgf visited the side and found . atm operational txn done. New Item :2012-2000-8600 New Serial Number :94-52684390 Old Item :2012-2000-8600 Old Serial Number :94-52684390
7911702218,"Camera Images required (From external camera & internal camera) TYRN0111 Plot no.H-35, Sant Nagar Extn., New Delhi - 110018 94-52684992Camera Images required (From external camera & internal camera)/Requester: Recon // Dispute Amount: 1500+1000//TXN date: 1-Mar-19 //TXN TIME: 12-30 Am - 01-30 AM // TXN no: 906000008905, 906000008906 // Card no: 608116XXXXXX0955// ATMO Nasim Khan 9911643442 nasim.khan@rediffmail.comPlease note that collect the images for complete transaction i.e. from transaction start to transaction end or for complete timing Dont collect the single image for single transaction.If image not found in both camera then kindly share the proper reason for images unavailability along with last images store date and latest sample images to know current camera functionality. [Generated by Portal Login: smitjadh Contact: smita Jadhav 02067350079 tcpslpmnrca@tatacommunications.com] CE IS NOW IN101D02 as per remarks. chgc #images retrive call# Dear Akshay As discussed, visited the site and found there is internal camera cable damaged by someone and last images on 10th feb time 1330 hrs. Second camera:-  someone put the spray on camera glass and not able to clean (attached images for required date) FCR, internal camera cable and external camera images also attached for same. Dear Anmol Pls share the qoute for replacement.  New Item :2012-2000-8600 New Serial Number :94-52684992 Old Item :2012-2000-8600 Old Serial Number :94-52684992"
7912004423,NEED TO RECTIFY CASH SHORTAGE NEED TO RECTIFY CASH SHORTAGE AND SHARE THE FCRAMOUNT: 60000SHORTAGE DATE: 03.04.2019EOD: 02.04.2019DENO: 2000*30 [Generated by Portal Login: phdicici Contact: monisha k 04466367831 icici.phd@hitachi-payments.com] CE IS NOW IN101M02 CE WAS IN101M02 **mail send to MS for EJ logs no error found related to cash shortage cheak with cit there is wrong feeding. New Item :2012-2137-8600 New Serial Number :94-55547920 Old Item :2012-2137-8600 Old Serial Number :94-55547920
7912010911,"Incident ID - 000000093276710 GWU-SLM call logged RA=LogField:NCGD0VNYZ5 | 27Text:04/23/2019 15:53 AS AS PER CM Anil Verma 9868229996 | TEER IS NOLAN CABLE ISSUE AT SIET |dispancer LDVT BELTS are damaged and retmesh is not available in machine dispancer need to be replaced in cagc same live shown to channel manager ravi verma ji.Pandey, Saurabh <Saurabh.Pandey@ncr.com> CE IS NOW IN101E01 EM#02 As per CE, he has already attended the site. Found EPP & RP is faulty on site same needs to be replaced. He his getting the part requested shortly. New Item :5875-0101-7590 New Serial Number :94-36737052 Old Item :5875-0101-7590 Old Serial Number :94-36737052 CE08204353: Courier CE Note:part is return in good and pickup by courier boy gyani CE08204356: Courier CE Note:part is at sbi pitampura metro atm backroom guard mob. no 7065063954"
7912307137,Monitor blank issue CRA- Ashish 8368482695 Engineer Mr. Saurabh 9911247079 [Generated by Portal Login: dineshm05 Contact: Dinesh Mudaliar 18800225556/0 mdinesh@fss.co.in] CE IS NOW IN101E05 ce visit the site and found ram gone faulty due to overheating ( ac not working) now part replaced under comprehensive billing and next time if any part damage in future due to overheating need to be replace on chgc basis ce visit the site and found ram gone faulty due to overheating / ac not working now ram replace under comprehensive billing and next time if any part damage in future due to overheating need to be replace on chgc basis ce visit the site and found ram gone faulty due to overheating / ac not working now ram replace under comprehensive billing and next time if any part damage in future due to overheating need to be replace on chgc basis New Item :6642-2000-8600 New Serial Number :94-46208210 Old Item :6642-2000-8600 Old Serial Number :94-46208210
7912101730,call log for monitor Blank issue cust ravinder 7783971486 engg saurabh gulati call log for monitor Blank issue cust ravinder 7783971486 engg saurabh gulati 9911247079 [Generated by Portal Login: salmhase Contact: Anees 01246264478 dfs.phd@hitachi-payments.com] CE IS NOW IN101C02 CE WAS IN101C02 Ce visit the site and found ram gone faulty due to overheating  ( ac not available) / ups backup issue at site / pestiside control required  now part replace under comprehensive billing and machine tested working fine but admin not done same inform to cra for admin . kindly resolve the site issue.   Ce visit the site and found ram gone faulty due to overheating  ( ac not available) / ups backup issue at site / pestiside control required  now part replace under comprehensive billing and machine tested working fine but admin not done same inform to cra for admin . kindly resolve the site issue.   New Item :2012-2000-8600 New Serial Number :94-46210334 Old Item :2012-2000-8600 Old Serial Number :94-46210334
7912101306,SLM for monitor blank issue FLM Sandeep -9213840003 Engg Saurabh 9911229867 SLM for monitor blank issue FLM Sandeep -9213840003 Engg Saurabh 9911229867 [Generated by Portal Login: shivgupt Contact: Saurav 0124-6264477 dfs.phd@hitachi-payments.com] CE IS NOW IN101Q01 CE WAS IN101Q01 ce visit the site and found ram faulty due to overheating / also ac not working now ram replace under comprehensive billing and next time if any part damage in future need to be replace on chgc basis / trx no. 6622 mini statement ce visit the site and found ram faulty due to overheating / also ac not working now ram replace under comprehensive billing and next time if any part damage in future need to be replace on chgc basis / trx no. 6622 mini statement New Item :2012-2000-8600 New Serial Number :94-46865170 Old Item :2012-2000-8600 Old Serial Number :94-46865170
7911905589,"atm id :CBPN053140 contact : Jagdish 8447484717 Mail From: FSC, Projects Sent: Monday, April 29, 2019 3:55 PM # EJ - EJ PRIMA 2.1.4 need to be loaded - Comprehensive billing CE IS NOW IN101E04 dicjet mo.collected now atm working fine loaded prima New Item :2012-2000-8600 New Serial Number :94-46865993 Old Item :2012-2000-8600 Old Serial Number :94-46865993"
7912202503,call log for frequent cdf issue Cust Harender 9913420871 call log for frequent cdf issue same inform to engineer saurav . [Generated by Portal Login: salmhase Contact: Salman Haseeb 9543950505 dfs.phd@hitachi-payments.com] CE IS NOW IN101E04 cit schedule@15.00hrs now atm working fine issue has been resolved by cit itself New Item :2012-2000-8600 New Serial Number :94-48014523 Old Item :2012-2000-8600 Old Serial Number :94-48014523
7912101437,SLM for CDF issue Cust Harendra 9913420871 Eng Saurabh 9911247079 SLM for CDF issue Cust Harendra 9913420871 Eng Saurabh 9911247079 [Generated by Portal Login: shivgupt Contact: Saurav 0124-6264477 dfs.phd@hitachi-payments.com] CE IS NOW IN101Q01 CE WAS IN101Q01 no issue at site machine tested working fine no issue at site machine tested working fine New Item :2012-2000-8600 New Serial Number :94-48141460 Old Item :2012-2000-8600 Old Serial Number :94-48141460
7912301787,Call logg for Software issue Cust Devender 8630134139 Engg Saurabh 9911229867 Call logg for Software issue Cust Devender 8630134139 Engg Saurabh 9911229867 [Generated by Portal Login: salmhase Contact: Sonali Thapak 9543950505 dfs.phd@hitachi-payments.com] CE IS NOW IN101E04 branch site atm so cit required at site same discuss with him schedule@15.30hrs check balance enq.now atm working fine while visiting the site found atm is operational New Item :2012-2000-8600 New Serial Number :94-48725605 Old Item :2012-2000-8600 Old Serial Number :94-48725605
7911903591,"Footage Required 11-04-2019 Time 15:27pm Caller Harish Branch 9991808013ATM Id 59142567email cb5914@canarabank.com Footage Required 11-04-2019 Time 15:27pm cb5914@canarabank.comLabour. approval awaited images retrieved and handover to branch person via ce , Saurabh pandey images retrieved and handover to branch person via ce , Saurabh pandey New Item :2012-2000-8600 New Serial Number :94-49254317 Old Item :2012-2000-8600 Old Serial Number :94-49254317"
7912005447,FOR MACHINE NOT COMING IN SERVICE//Cra Rajnikant 7217719026 FOR MACHINE NOT COMING IN SERVICE//Cra Rajnikant 7217719026//Er.Saurav gulati 9911247079 [Generated by Portal Login: wlasuppo Contact: BOI 044-66367882 BOIHelpdesk@hitachi-payments.com] CE IS NOW IN101E05 due to negative area call schedule on tomorrow morning     Ce visit the site and found motherboard gone faulty due to overheating/ also ac not working now part replace under comprehensive billing next time if any part damage in future due to overheating need to be replace on chgc basis kindly resolve.   trx no. 323268. 19:25     Ce visit the site and found motherboard gone faulty due to overheating/ also ac not working now part replace under comprehensive billing next time if any part damage in future due to overheating need to be replace on chgc basis kindly resolve.   trx no. 323268. 19:25 New Item :2012-2000-8600 New Serial Number :94-50775454 Old Item :2012-2000-8600 Old Serial Number :94-50775454
7912101617,CDF issue CRA Ravinder 7783971486 need to call log for CDF issue CE Saurav 9911247079 [Generated by Portal Login: ganebark Contact: Ganesh Barkade 020 - 6735014 ganesh.barkade@tatacommunications.com] CE IS NOW IN101E05 schedule on 1700 hrs as pr cra no issue at site machine tested working fine no issue at site machine tested working fine New Item :2012-2000-8600 New Serial Number :94-51149866 Old Item :2012-2000-8600 Old Serial Number :94-51149866
7912103976,SLM for Software issue CIT Mohit 9999082944 CE Rakesh 9958309374 SLM for Software issue CIT Mohit 9999082944 CE Rakesh 9958309374 [Generated by Portal Login: shelpawa Contact: pankaj kumar 8010105278 suman.kumar@hitachi-payments.com] CE IS NOW IN101E05 no issue at site machine tested working fine but dispenser authentication required / ce tried to call cra 4 to 5 times regarding dispenser authentication but unable to reach kindly inform / ac not working/ pestiside control required/ lights are not available in atm lobby/ ups backup issue at site/ trx no. 5522 - 18:01   no issue at site machine tested working fine but dispenser authentication required / ce tried to call cra 4 to 5 times regarding dispenser authentication but unable to reach kindly inform / ac not working/ pestiside control required/ lights are not available in atm lobby/ ups backup issue at site/ trx no. 5522 - 18:01 New Item :2012-2000-8600 New Serial Number :94-51207665 Old Item :2012-2000-8600 Old Serial Number :94-51207665
7912101627,ATM NOT COMING ONLINE ATM NOT COMING ONLINE [Generated by Portal Login: kadamr23 Contact: Rupesh Kadam 9999082944 rupesh.kadam@dieboldnixdorf.com] CE IS NOW IN101E05 due to metro security issue call schedule for tomorrow morning Ce visit the site and resolved the issue.  trx no. 2680. 14:59. kindly resolve site condition issue  site condition issue  1.   ac not working  2.   pestiside control required  3.    ups and ups bettries both are not available Ce visit the site and resolved the issue.  trx no. 2680. 14:59. kindly resolve site condition issue  site condition issue  1.   ac not working  2.   pestiside control required  3.    ups and ups bettries both are not available New Item :2012-2000-8600 New Serial Number :94-51946330 Old Item :2012-2000-8600 Old Serial Number :94-51946330
7912007122,"FSC, Projects <Projects.FSC@ncr.com>Tue 4/30/2019 4:36 PM # EJ and solid core server CE IS NOW IN101E04 restart Sd agent disable windows firewall wait 1 hour at site unable to get the support from EJ Team sc team made a con call with EJ Team there have keep the call on hold for almost 15min but no respond I am already pre loaded with calls &amp;move to another calls. New Item :2012-2000-8600 New Serial Number :94-51948231 Old Item :2012-2000-8600 Old Serial Number :94-51948231 Install latest software 08.05 Now machine is working fine"
7912000357,"Call logged for 100 cassette faulty ATM ID: CECN43135PAL COLONY RITHALASHOP NO-2 ,HOUSE NO-1 ,K.NO-59/12 PAL COLONY RITHALA NEW DELHI-110085 [Generated by Portal Login: thasac14 Contact: sujan pawar 02239397285 enaxis@euronetworldwide.com] CE IS NOW IN101E05 for new 100 currency- spacers need to installed and cassette configuration also required so, same need to be done on chargable basis cassette configured and keep in backroom. cassette configured and keep in backroom. New Item :2012-2000-8600 New Serial Number :94-52692368 Old Item :2012-2000-8600 Old Serial Number :94-52692368"
7912303494,"software issue SHOP NO-2 ,HOUSE NO-1 ,K.NO-59/12 PAL COLONY RITHALA NEW DELHI-110085 [Generated by Portal Login: thasac14 Contact: pritesh kadam 02239397354 ENAXIS@euronetworldwide.com] CE IS NOW IN101E05 replace the part now tested working fine     New Item :2012-2000-8600 New Serial Number :94-52692368 Old Item :2012-2000-8600 Old Serial Number :94-52692368"
7912008238,Card Reader Issue Caller Richa TSI 09910059630 ATM ID: HI416600 PNB Bank CE IS NOW IN101J03 CE WAS IN101J03 Ce visit the site and found no card reader issue at site machine tested working fine but network issue at site ce tried to call ms Richa but unable to reach .  site condition issue 1.   deep cleaning and pesatiside control required  2.  ac not working  Ce visit the site and found no card reader issue at site machine tested working fine but network issue at site ce tried to call ms Richa but unable to reach .  site condition issue 1.   deep cleaning and pesatiside control required  2.  ac not working  New Item :2018-2000-8600 New Serial Number :94-56353781 Old Item :2018-2000-8600 Old Serial Number :94-56353781
7912302636,"vault lock issuemail from Namdeo, Vinit CE IS NOW IN101E05 schedule on 12:30 as pr cra ce visit the site and found no issue at site machine tested working fine/ volt lock is already in default mode same inform to cra for takeover and loading cash / Deep cleaning and pesatiside control required/ ac not working ce visit the site and found no issue at site machine tested working fine/ volt lock is already in default mode same inform to cra for takeover and loading cash / Deep cleaning and pesatiside control required/ ac not working New Item :2018-2000-8600 New Serial Number :94-56353781 Old Item :2018-2000-8600 Old Serial Number :94-56353781"
7912201294,"From: mddanish mohammad <mddanish.mohammad@hitachi-payments.com> Sent: 04/30/2019 17:32ATM ID: DPCN165505 Serial Number: 46132294Engineer Ginni 9910296542 Custodian Naresh 7982079433 DPCN165505 B2/1, B-Block, Shahbad Dairy, Near Hanuman Mandir, Daulatpur North, West Delhi-110042. Card Reader issue CE IS NOW IN101E04 Ce visit the site and found router shutting down from main board and also somebody insert some material on the card reder  now , material removed and tested ok and next time if any card reader issue occur need to be replace on chgc basis.  pfa.... Ce visit the site and found router shutting down from main board and also somebody insert some material on the card reder  now , material removed and tested ok and next time if any card reader issue occur need to be replace on chgc basis.  pfa.... New Item :ivf8iffi New Serial Number :icificiviiogi Old Item :<blank> Old Serial Number :<blank>"
7912005870,"software loading Namdeo, Vinit <Vinit.Namdeo@ncr.com> Tue 4/30/2019 3:24 PM CE IS NOW IN101F04 load the software   load the software but atm getting reboot New Item :2012-2000-8600 New Serial Number :94-48139545 Old Item :2012-2000-8600 Old Serial Number :94-48139545"
7912006063,"Puneet 784009613030-04-2019,02.30 PMCBPN078340 shalu.kumari <shalu.kumari@hitachi-payments.com>Tue 4/30/2019 3:30 PM # EJ - EJ Hitachi Prima 2.1.4 to be loaded, Docket # to be collected. COMPREHENSIVE BILLING . CE IS NOW IN101F04 DFS0305192608 docket no DFS0305192608 docket no New Item :2012-2000-8600 New Serial Number :94-48725770 Old Item :2012-2000-8600 Old Serial Number :94-48725770"
7911905371,ATM loges need to collect ATM loges need to collect [Generated by Portal Login: Ujjivan02 Contact: Satyanarayan Dey 7338777422 ujjivanms@fss.co.in] CE IS NOW IN101H07 CE WAS IN101H07 Logs need to collect Logs Copied and Sent to FSS. New Item :2012-2000-8600 New Serial Number :94-52695477 Old Item :2012-2000-8600 Old Serial Number :94-52695477
7912101588,"Incident ID - 000000093370869 GWU-SLM Zero With drawl RA=LogField:NCGD1CA1AS | 49Text:01/05/2019 12:14 RS had a con call done with CE Navdeep 9873388532 and ATMC Rajeev need to pull EJ file , same as inform to with ATMC Rajeev , | same move in SLM. | CE IS NOW IN101G02 ej team not responding ej issue EJ Team is not responding. New Item :6642-2000-8600 New Serial Number :94-46208567 Old Item :6642-2000-8600 Old Serial Number :94-46208567"
7912006041,"Pushpak 964346573530-04-2019,03.10 PMCBPN026440 shalu.kumari <shalu.kumari@hitachi-payments.com> Tue 4/30/2019 3:30 PM # EJ - EJ Hitachi Prima 2.1.3 to be loaded, Docket # to be collected. COMPREHENSIVE BILLING . CE IS NOW IN101G02 ej issue #EJ installed. ej installed and machine is working fine now. docket no DFS0205192605 New Item :2012-2000-8600 New Serial Number :94-46866985 Old Item :2012-2000-8600 Old Serial Number :94-46866985"
7911604991,"ATM ID 0158WS03 Contact Perosn  Aakash 9643808360 mail from From: Cctv Services <cctv.services@writercorporation.com> Sent: Friday, April 26, 2019 12:43 PM Ncr Cam 2 Not Working CE IS NOW IN101G05 Replace the Dome camra now working fine Replace the Dome camra now working fine New Item :2012-2000-8600 New Serial Number :94-51944450 Old Item :2012-2000-8600 Old Serial Number :94-51944450"
7912101629,ATM rebootingEng Pawan 8630411455 [Generated by Portal Login: sarafpan Contact: Pankaj Saraf 91 22 61957617 / 18 pankajss@fss.co.in] CE IS NOW IN101H07 19.30hrs there is hdd required same will be delivered tomorrow morning 10.00am reload thw software now atm is up but not in service due to lan cable issue same need to be required New Item :6642-2000-8600 New Serial Number :94-46132128 Old Item :6642-2000-8600 Old Serial Number :94-46132128
7907709429,"Hitachi OS Migration from Windows XP To Windows 7 , Hitachi Update IUI 8.05 Update ver 3.08 To be Loaded , EJ to be Pulled By calling HPY EJ HD on 04449037416 , Post Installation Updatelog.txt to be checked and updated on M-AUDIT , EJ Docket No. post installation to be collected and Solidcore Docket Number to be Collected from 022 62175725 . EJ And Solidcore Docket No. is Mandatory #Software Upgradation# Deployment Activity / Deployment -Centralised approval #Hitachi OS Migration CE IS NOW IN101H07 chgc activity done New Item :6642-2000-8600 New Serial Number :94-46132310 Old Item :6642-2000-8600 Old Serial Number :94-46132310"
7912305595,ATM Rebooting ATM Rebooting [Generated by Portal Login: thasac14 Contact: Abhishek Singh 39397112 absingh@euronetworldwide.com] CE IS NOW IN101M04 CE WAS IN101M04 stuk on software call eta extended further reinstalled the software now atm tested working fine New Item :2012-2122-8600 New Serial Number :94-51948501 Old Item :2012-2122-8600 Old Serial Number :94-51948501
7912302953,"HARD DISK ENCRYPTION ISSUE HARD DISK ENCRYPTION ISSUE(DISPLAYING GREEN NCR ISSUE) [Generated by Portal Login: 1anil123 Contact: Amaan Sait 04846615524 fts@csb.co.in] CE IS NOW IN101H07 reload thw software not atm is live but dispenser authentication pending, same will be done by branch on tomorrow because today branch is closed     New Item :2018-2101-8600 New Serial Number :94-54704887 Old Item :2018-2101-8600 Old Serial Number :94-54704887"
7912304573,ATM rebootingEng Rambau 9718036889 [Generated by Portal Login: sarafpan Contact: Pankaj Saraf 91 22 61957617 / 18 pankajss@fss.co.in] CE IS NOW IN101J05 CE ETA 15:15hrs   #monitor black issue # Vigited the site relode the software tested ok now atm is working fine but authoncation pending try to ej team but number not respond New Item :6642-2000-8600 New Serial Number :94-44907359 Old Item :6642-2000-8600 Old Serial Number :94-44907359
